Div	Rep	Type	Count	Exp	Ratio
Div3	rep4	poly1:4	11.70	poly	01:04
Div4	rep4	poly1:4	7.22	poly	01:04
Div5	rep4	poly1:4	3.00	poly	01:04
undivided	rep1	allo1:16	28.75	allo	01:16
Div1	rep1	allo1:16	12.20	allo	01:16
Div2	rep1	allo1:16	14.80	allo	01:16
Div3	rep1	allo1:16	19.75	allo	01:16
Div4	rep1	allo1:16	15.80	allo	01:16
Div5	rep1	allo1:16	6.14	allo	01:16
undivided	rep2	allo1:16	35.70	allo	01:16
Div1	rep2	allo1:16	15.50	allo	01:16
Div2	rep2	allo1:16	16.30	allo	01:16
Div3	rep2	allo1:16	16.70	allo	01:16
Div4	rep2	allo1:16	10.30	allo	01:16
Div5	rep2	allo1:16	3.25	allo	01:16
undivided	rep3	allo1:16	16.10	allo	01:16
Div1	rep3	allo1:16	15.00	allo	01:16
Div2	rep3	allo1:16	14.70	allo	01:16
Div3	rep3	allo1:16	20.20	allo	01:16
Div4	rep3	allo1:16	19.10	allo	01:16
Div5	rep3	allo1:16	11.20	allo	01:16
undivided	rep4	allo1:16	15.30	allo	01:16
Div1	rep4	allo1:16	17.00	allo	01:16
Div2	rep4	allo1:16	13.30	allo	01:16
Div3	rep4	allo1:16	17.10	allo	01:16
Div4	rep4	allo1:16	18.10	allo	01:16
Div5	rep4	allo1:16	13.20	allo	01:16
undivided	rep1	poly1:16	26.75	poly	01:16
Div1	rep1	poly1:16	13.15	poly	01:16
Div2	rep1	poly1:16	16.30	poly	01:16
Div3	rep1	poly1:16	21.15	poly	01:16
Div4	rep1	poly1:16	15.25	poly	01:16
Div5	rep1	poly1:16	5.63	poly	01:16
undivided	rep2	poly1:16	29.50	poly	01:16
Div1	rep2	poly1:16	13.50	poly	01:16
Div2	rep2	poly1:16	16.65	poly	01:16
Div3	rep2	poly1:16	20.15	poly	01:16
Div4	rep2	poly1:16	13.60	poly	01:16
Div5	rep2	poly1:16	4.26	poly	01:16
undivided	rep3	poly1:16	26.30	poly	01:16
Div1	rep3	poly1:16	13.20	poly	01:16
Div2	rep3	poly1:16	17.20	poly	01:16
Div3	rep3	poly1:16	21.20	poly	01:16
Div4	rep3	poly1:16	14.20	poly	01:16
Div5	rep3	poly1:16	5.28	poly	01:16
undivided	rep4	poly1:16	19.30	poly	01:16
Div1	rep4	poly1:16	17.80	poly	01:16
Div2	rep4	poly1:16	13.80	poly	01:16
Div3	rep4	poly1:16	17.30	poly	01:16
Div4	rep4	poly1:16	16.50	poly	01:16
Div5	rep4	poly1:16	11.10	poly	01:16
