"","x","y"
"1",1,9.4004417108771
"2",2,5.80577084729205
"3",3,3.90701131716519
"4",4,3.62358768933156
"5",5,3.27032470996711
"6",6,3.04156743843949
"7",7,2.91251095660137
"8",8,2.63410611147031
"9",9,2.52136049224569
"10",10,2.25795064770045
"11",11,2.24294634059349
"12",12,2.17115787872585
"13",13,2.10550804875
"14",14,2.05997046263342
"15",15,2.01146808553372
"16",16,2.00185170494021
"17",17,1.98386171668265
"18",18,1.96063469495975
"19",19,1.95351917869917
"20",20,1.93253276642379
